id,problem_id,ground_truth,seed,arm,episode_status,success,verified_outcome,predicted_status,provider_calls,accounted_cost_usd,provider_reported_cost_usd,accounting_margin_usd,uncertain_calls,transport_errors,wall_latency_ms,total_tokens,generated_usage_complete,provider_attempt_usage_complete,known_generated_token_subtotal,generated_candidates,evaluated_candidates,unevaluated_candidates,solver_calls,rounds,error
003c10fc8c0976c1a47f,linear-sat-0068,sat,29,one_shot,complete,1,CERTIFIED_SAT,sat,1,0.000176,0.00017516,8.399999999999987e-07,0,0,10662.707272917032,1692,True,True,1692,1,1,0,1,1,
00ddc4a961849020f32d,linear-unsat-0145,unsat,29,cd_vgs_core_rank,complete,1,CERTIFIED_UNSAT,unsat,4,6e-05,5.927e-05,7.300000000000015e-07,0,0,2102.0965930074453,1539,True,True,1539,4,1,3,1,1,
010727ca52cf66f81d55,linear-sat-0214,sat,29,multi_unsat_core_feedback,complete,0,BUDGET_EXCEEDED,,16,0.004573,0.004567349999999998,5.650000000002008e-06,0,0,187825.17783902586,43115,True,True,43115,16,16,0,1,4,
013f81cdcfcae67e8c15,linear-unsat-0026,unsat,43,cd_vgs_core_rank,complete,1,CERTIFIED_UNSAT,unsat,4,7.6e-05,7.306e-05,2.940000000000009e-06,0,0,2361.1569572240114,2002,True,True,2002,4,1,3,1,1,
01587f6ad034ba553832,linear-sat-0121,sat,29,multi_unsat_core_feedback,complete,1,CERTIFIED_SAT,sat,12,0.003243,0.0032379899999999996,5.0100000000001706e-06,0,0,220139.40021116287,28403,True,True,28403,12,9,3,2,3,
01c6aba622bef4f37646,linear-unsat-0078,unsat,43,multi_unsat_core_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,8e-05,7.62e-05,3.800000000000011e-06,0,0,1972.0348259434104,2100,True,True,2100,4,1,3,1,1,
022f5f56af891ae78a0b,linear-unsat-0023,unsat,43,one_shot,complete,1,CERTIFIED_UNSAT,unsat,1,1.5e-05,1.497e-05,2.999999999999971e-08,0,0,407.3727149516344,389,True,True,389,1,1,0,1,1,
023e3d8fc2e3782cb1ef,linear-unsat-0166,unsat,17,cd_vgs_core_rank,complete,1,CERTIFIED_UNSAT,unsat,4,6.1e-05,6.001e-05,9.899999999999956e-07,0,0,1956.7601066082716,1557,True,True,1557,4,1,3,1,1,
03173e33d40054ae767f,linear-unsat-0085,unsat,17,multi_unsat_core_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,6e-05,5.715e-05,2.8500000000000015e-06,0,0,2318.869585171342,1455,True,True,1455,4,1,3,1,1,
035ca892a37369023fb0,linear-unsat-0166,unsat,17,multi_unsat_core_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,6e-05,5.988e-05,1.1999999999999885e-07,0,0,2184.5933282747865,1556,True,True,1556,4,1,3,1,1,
03e7623dce76e4458ce7,linear-unsat-0053,unsat,17,cd_vgs_core_rank,complete,1,CERTIFIED_UNSAT,unsat,4,9.2e-05,9.038e-05,1.6200000000000014e-06,0,0,2501.827626489103,2566,True,True,2566,4,1,3,1,1,
04272e8b5e96edd57648,linear-unsat-0168,unsat,17,one_shot,complete,1,CERTIFIED_UNSAT,unsat,1,1.8e-05,1.704e-05,9.60000000000001e-07,0,0,516.4664089679718,448,True,True,448,1,1,0,1,1,
04520e522c7f151ecee3,linear-unsat-0053,unsat,29,multi_no_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,9.2e-05,9.012e-05,1.8800000000000023e-06,0,0,3221.3174756616354,2564,True,True,2564,4,1,3,1,1,
0544518c00b0013d07d6,linear-unsat-0053,unsat,17,multi_generic_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,9.2e-05,9.038e-05,1.6200000000000014e-06,0,0,2684.1339487582445,2566,True,True,2566,4,1,3,1,1,
0577ac889ac9b3888782,linear-unsat-0085,unsat,29,multi_no_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,6e-05,5.715e-05,2.8500000000000015e-06,0,0,2029.0553458034992,1455,True,True,1455,4,1,3,1,1,
064fd46da1403483a69b,linear-sat-0028,sat,29,cd_vgs_core_rank,complete,0,BUDGET_EXCEEDED,,16,0.003761,0.003753320000000001,7.679999999999059e-06,0,0,221570.6063825637,38324,True,True,38324,16,16,0,4,4,
06bc8e254a2de8f3f62b,linear-sat-0192,sat,17,cd_vgs_core_rank,complete,1,CERTIFIED_SAT,sat,4,0.00073,0.0007277599999999999,2.2400000000000328e-06,0,0,33602.80629526824,6632,True,True,6632,4,2,2,1,1,
06d379186e00f4c58d0e,linear-unsat-0145,unsat,29,multi_generic_feedback,complete,1,CERTIFIED_UNSAT,unsat,4,6e-05,5.953e-05,4.700000000000006e-07,0,0,2904.90928851068,1541,True,True,1541,4,1,3,1,1,
06ff951af200cdc7af57,linear-sat-0205,sat,43,cd_vgs_core_rank,complete,0,BUDGET_EXCEEDED,,16,0.004429,0.004418689999999999,1.0310000000000354e-05,0,0,293345.7381380722,40393,True,True,40393,16,16,0,1,4,
0752a0c96e308e48d422,linear-sat-0214,sat,43,cd_vgs_core_rank,complete,0,BUDGET_EXCEEDED,,16,0.004363,0.0043576599999999984,5.3400000000012465e-06,0,0,255902.7624707669,41502,True,True,41502,16,16,0,1,4,
0780bd745d7ebe377168,linear-sat-0214,sat,29,cd_vgs_core_rank,complete,0,BUDGET_EXCEEDED,,16,0.004576,0.004571119999999998,4.880000000002244e-06,0,0,253233.0015655607,43144,True,True,43144,16,16,0,0,4,
